Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2012-07-02, 89.29, 89.69, 88.28, 89.28, 2289700, 80.86,,
2012-06-29, 88.62, 89.60, 88.35, 89.60, 4629400, 81.15,,
2012-06-28, 86.36, 87.25, 85.98, 87.16, 3267100, 78.94,,
2012-06-27, 86.39, 87.60, 86.24, 87.16, 2887800, 78.94,,
2012-06-26, 85.91, 86.47, 85.29, 86.18, 2389100, 78.06,,
2012-06-25, 85.87, 86.31, 85.46, 85.85, 2908900, 77.76,,
2012-06-22, 87.11, 87.14, 86.38, 86.83, 3026000, 78.65,,
2012-06-21, 88.04, 88.38, 86.62, 86.73, 3722800, 78.56,,
2012-06-20, 87.93, 88.28, 87.35, 87.54, 3446800, 79.29,,
2012-06-19, 87.82, 88.17, 87.52, 87.82, 3212500, 79.54,,
2012-06-18, 87.07, 87.61, 86.67, 87.31, 2950600, 79.08,,
2012-06-15, 87.57, 87.91, 87.01, 87.44, 4696100, 79.20,,
2012-06-14, 86.31, 87.23, 86.06, 86.86, 3334900, 78.67,,
2012-06-13, 86.30, 86.80, 85.72, 86.13, 2661900, 78.01,,
2012-06-12, 85.67, 86.74, 85.22, 86.73, 2570900, 78.56,,
2012-06-11, 86.54, 86.54, 85.08, 85.18, 2098200, 77.15,,
2012-06-08, 85.18, 86.09, 84.99, 86.00, 2146200, 77.89,,
2012-06-07, 85.59, 86.19, 85.33, 85.50, 3032400, 77.44,,
2012-06-06, 83.22, 84.64, 83.03, 84.63, 2776300, 76.65,,
2012-06-05, 82.59, 82.86, 82.25, 82.51, 3268700, 74.73,,
2012-06-04, 82.79, 82.99, 81.99, 82.62, 2899900, 74.83,,
2012-06-01, 83.05, 83.98, 82.72, 82.85, 3539200, 75.04,,
2012-05-31, 84.45, 85.05, 83.87, 84.41, 3683200, 76.45,,
2012-05-30, 85.06, 85.12, 84.10, 84.45, 2697100, 76.49,,
2012-05-29, 85.38, 86.00, 85.13, 85.73, 2142200, 77.65,,
2012-05-25, 84.87, 85.20, 84.40, 84.78, 2346000, 76.79,,
2012-05-24, 84.96, 85.00, 84.03, 84.98, 2322100, 76.97,,
2012-05-23, 83.37, 84.88, 82.95, 84.80, 3200000, 76.81,,
2012-05-22, 84.69, 84.99, 83.68, 84.13, 3000900, 76.20,,
2012-05-21, 83.88, 84.63, 83.75, 84.46, 2450000, 76.50,,
2012-05-18, 84.78, 84.78, 83.27, 83.51, 3602900, 75.64,,
2012-05-17, 85.56, 85.64, 84.25, 84.34, 2777200, 76.39,,
2012-05-16, 85.91, 86.27, 85.26, 85.35, 2770600, 77.31, 0.59, 
2012-05-15, 85.95, 86.46, 85.50, 85.78, 2611300, 77.16,,
2012-05-14, 85.46, 86.55, 85.24, 85.83, 2631900, 77.21,,
2012-05-11, 86.47, 87.48, 86.24, 86.73, 2601800, 78.01,,
2012-05-10, 87.14, 87.69, 86.88, 87.13, 2828500, 78.37,,
2012-05-09, 86.64, 87.84, 85.98, 87.27, 3192800, 78.50,,
2012-05-08, 87.12, 87.88, 86.30, 87.56, 2710400, 78.76,,
2012-05-07, 87.70, 88.62, 87.70, 88.01, 2753500, 79.17,,
2012-05-04, 89.17, 89.24, 88.30, 88.67, 2823800, 79.76,,
2012-05-03, 89.50, 89.85, 89.11, 89.39, 2343600, 80.41,,
2012-05-02, 89.16, 89.59, 88.89, 89.52, 2100200, 80.52,,
2012-05-01, 89.13, 89.95, 88.74, 89.60, 2294200, 80.60,,
2012-04-30, 89.25, 89.46, 88.72, 89.36, 2072900, 80.38,,
2012-04-27, 89.41, 89.54, 88.75, 89.36, 2618000, 80.38,,
2012-04-26, 88.60, 89.56, 88.51, 89.32, 2750900, 80.34,,
2012-04-25, 88.98, 89.26, 88.50, 88.80, 2962900, 79.88,,
2012-04-24, 89.33, 89.75, 88.38, 88.49, 5701200, 79.60,,
2012-04-23, 86.52, 87.24, 86.02, 87.13, 2769900, 78.37,,
2012-04-20, 86.99, 87.80, 86.91, 87.48, 3177200, 78.69,,
2012-04-19, 87.19, 87.55, 86.13, 86.80, 2565000, 78.08,,
2012-04-18, 86.90, 87.63, 86.69, 87.13, 1781600, 78.37,,
2012-04-17, 86.70, 87.67, 86.66, 87.45, 2354200, 78.66,,
2012-04-16, 86.04, 86.93, 85.92, 86.40, 3060200, 77.72,,
2012-04-13, 86.49, 86.59, 85.57, 85.69, 2609700, 77.08,,
2012-04-12, 85.71, 86.93, 85.08, 86.86, 2476000, 78.13,,
2012-04-11, 85.36, 85.69, 85.12, 85.35, 2527700, 76.77,,
2012-04-10, 86.19, 86.40, 84.44, 84.58, 3651000, 76.08,,
2012-04-09, 86.24, 86.77, 85.90, 86.33, 1932700, 77.66,,
2012-04-05, 87.36, 87.79, 86.97, 87.27, 2048400, 78.50,,
2012-04-04, 87.98, 88.05, 87.15, 87.84, 2392700, 79.01,,
2012-04-03, 89.22, 89.22, 88.20, 88.79, 2298400, 79.87,,
2012-04-02, 88.79, 89.36, 88.05, 89.23, 2640900, 80.26,,
2012-03-30, 89.22, 89.29, 88.76, 89.21, 2471800, 80.25,,
2012-03-29, 87.88, 88.82, 87.72, 88.77, 2207100, 79.85,,
2012-03-28, 89.29, 89.61, 88.04, 88.45, 2289600, 79.56,,
2012-03-27, 89.38, 89.42, 88.93, 89.14, 2308400, 80.18,,
2012-03-26, 88.92, 89.35, 88.60, 89.12, 2572500, 80.16,,
2012-03-23, 88.63, 88.67, 88.02, 88.46, 2326100, 79.57,,
2012-03-22, 88.50, 88.78, 87.72, 88.57, 3064200, 79.67,,
2012-03-21, 89.42, 89.64, 88.80, 88.91, 2433800, 79.98,,
2012-03-20, 89.17, 89.73, 88.75, 89.35, 2485300, 80.37,,
2012-03-19, 89.52, 89.90, 89.20, 89.74, 2585400, 80.72,,
2012-03-16, 89.88, 90.00, 89.37, 89.56, 5007100, 80.56,,
2012-03-15, 89.00, 90.00, 88.82, 90.00, 3252200, 80.96,,
2012-03-14, 88.60, 89.25, 88.60, 88.87, 2960900, 79.94,,
2012-03-13, 87.76, 88.77, 87.51, 88.75, 3107100, 79.83,,
2012-03-12, 87.10, 87.75, 86.96, 87.54, 2049300, 78.74,,
2012-03-09, 86.81, 87.27, 86.65, 86.80, 1958300, 78.08,,
2012-03-08, 86.06, 86.93, 85.98, 86.71, 2603200, 78.00,,
2012-03-07, 85.24, 85.67, 84.88, 85.47, 3150800, 76.88,,
2012-03-06, 85.72, 85.86, 84.83, 84.95, 3547900, 76.41,,
2012-03-05, 87.40, 87.45, 86.38, 87.06, 2701900, 78.31,,
2012-03-02, 87.47, 87.57, 87.04, 87.52, 2820500, 78.73,,
2012-03-01, 87.72, 88.22, 87.17, 87.49, 2525200, 78.70,,
2012-02-29, 88.14, 88.32, 87.25, 87.60, 3277700, 78.80,,
2012-02-28, 87.83, 88.20, 87.23, 87.77, 2497700, 78.95,,
2012-02-27, 87.41, 88.32, 87.10, 88.07, 3012900, 79.22,,
2012-02-24, 88.04, 88.46, 87.88, 88.20, 2524800, 79.34,,
2012-02-23, 87.88, 88.18, 87.27, 87.90, 3531300, 79.07,,
2012-02-22, 87.65, 88.09, 87.45, 87.76, 2650000, 78.94,,
