Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2013-03-05, 421.48, 435.19, 420.75, 431.14, 159608400, 57.53,,
2013-03-04, 427.80, 428.20, 419.00, 420.05, 145688900, 56.05,,
2013-03-01, 438.00, 438.18, 429.98, 430.47, 138112100, 57.44,,
2013-02-28, 444.05, 447.87, 441.40, 441.40, 80628800, 58.90,,
2013-02-27, 448.43, 452.44, 440.65, 444.57, 146837600, 59.32,,
2013-02-26, 443.82, 451.54, 437.66, 448.97, 125374900, 59.91,,
2013-02-25, 453.85, 455.12, 442.57, 442.80, 93144800, 59.09,,
2013-02-22, 449.25, 451.60, 446.60, 450.81, 82663700, 60.16,,
2013-02-21, 446.00, 449.17, 442.82, 446.06, 111795600, 59.52,,
2013-02-20, 457.69, 457.69, 448.80, 448.85, 119075600, 59.89,,
2013-02-19, 461.10, 462.73, 453.85, 459.99, 108945900, 61.38,,
2013-02-15, 468.85, 470.16, 459.92, 460.16, 97936300, 61.40,,
2013-02-14, 464.52, 471.64, 464.02, 466.59, 88818800, 62.26,,
2013-02-13, 467.21, 473.64, 463.22, 467.01, 118801900, 62.32,,
2013-02-12, 479.51, 482.38, 467.74, 467.90, 152263300, 62.44,,
2013-02-11, 476.50, 484.94, 473.25, 479.93, 129372600, 64.04,,
2013-02-08, 474.00, 478.81, 468.25, 474.98, 158289600, 63.38,,
2013-02-07, 463.25, 470.00, 454.12, 468.22, 176145200, 62.48, 0.37857, 
2013-02-06, 456.47, 466.50, 452.58, 457.35, 148426600, 60.67,,
2013-02-05, 444.05, 459.74, 442.22, 457.84, 143336900, 60.74,,
2013-02-04, 453.91, 455.94, 442.00, 442.32, 119279300, 58.68,,
2013-02-01, 459.11, 459.48, 448.35, 453.62, 134871100, 60.18,,
2013-01-31, 456.98, 459.28, 454.98, 455.49, 79833600, 60.43,,
2013-01-30, 457.00, 462.60, 454.50, 456.83, 104288800, 60.61,,
2013-01-29, 458.50, 460.20, 452.12, 458.27, 142789500, 60.80,,
2013-01-28, 437.83, 453.21, 435.86, 449.83, 196379400, 59.68,,
2013-01-25, 451.69, 456.23, 435.00, 439.88, 302006600, 58.36,,
2013-01-24, 460.00, 465.73, 450.25, 450.50, 365213100, 59.77,,
2013-01-23, 508.81, 514.99, 504.77, 514.01, 215377400, 68.19,,
2013-01-22, 504.56, 507.88, 496.63, 504.77, 115386600, 66.97,,
2013-01-18, 498.52, 502.22, 496.40, 500.00, 118230700, 66.33,,
2013-01-17, 510.31, 510.75, 502.03, 502.68, 113419600, 66.69,,
2013-01-16, 494.64, 509.44, 492.50, 506.09, 172701200, 67.14,,
2013-01-15, 498.30, 498.99, 483.38, 485.92, 219193100, 64.46,,
2013-01-14, 502.68, 507.50, 498.51, 501.75, 183551900, 66.56,,
2013-01-11, 521.00, 525.32, 519.02, 520.30, 87626700, 69.03,,
2013-01-10, 528.55, 528.72, 515.52, 523.51, 150286500, 69.45,,
2013-01-09, 522.50, 525.01, 515.99, 517.10, 101901100, 68.60,,
2013-01-08, 529.21, 531.89, 521.25, 525.31, 114676800, 69.69,,
2013-01-07, 522.00, 529.30, 515.20, 523.90, 121039100, 69.50,,
2013-01-04, 536.97, 538.63, 525.83, 527.00, 148583400, 69.91,,
2013-01-03, 547.88, 549.67, 541.00, 542.10, 88241300, 71.92,,
2013-01-02, 553.82, 555.00, 541.63, 549.03, 140129500, 72.84,,
2012-12-31, 510.53, 535.40, 509.00, 532.17, 164873100, 70.60,,
2012-12-28, 510.29, 514.48, 508.12, 509.59, 88569600, 67.61,,
2012-12-27, 513.54, 516.25, 504.66, 515.06, 113780100, 68.33,,
